Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
26,78,148,209,271,314,430,577,675,757,833,937,1044,1109,1189,1207,1249,1308,1387,1440,1499,1550,1581,1658,1718,1750,1811,1854,1919,1968,1993,2048,2103,2175,2182,2234,2265,2326,2363,2405,2471,2503,2554,2584,2652,2660,2737,2777,2805,2867,2943,3004,3022,3065,3078,3136,3170,3214,3224,3266,3285,3410
25,84,158,219,287,331,455,613,706,790,869,973,1080,1150,1226,1243,1287,1345,1423,1474,1534,1588,1621,1695,1756,1794,1852,1896,1964,2009,2031,2089,2144,2216,2224,2277,2311,2369,2411,2454,2513,2541,2595,2627,2692,2707,2777,2816,2848,2910,2976,3031,3058,3088,3102,3163,3196,3235,3264,3283,3299,3420
24,89,169,232,304,357,486,636,743,829,905,1010,1112,1188,1268,1287,1327,1381,1463,1515,1574,1626,1660,1735,1797,1837,1896,1940,2010,2054,2078,2134,2190,2264,2280,2329,2362,2418,2459,2499,2561,2588,2635,2672,2734,2749,2820,2852,2886,2947,3019,3060,3081,3118,3122,3187,3216,3254,3276,3295,3309,3429
23,95,179,249,327,380,519,669,777,866,942,1051,1144,1230,1307,1327,1368,1417,1503,1551,1617,1671,1708,1776,1845,1884,1945,1987,2057,2099,2123,2184,2234,2311,2331,2372,2415,2465,2507,2541,2611,2634,2685,2718,2774,2789,2860,2889,2925,2984,3050,3092,3104,3144,3151,3214,3234,3270,3288,3305,3328,3443
22,100,191,271,356,400,546,706,821,915,980,1090,1183,1266,1347,1363,1411,1456,1541,1593,1659,1709,1750,1816,1889,1932,1990,2039,2101,2145,2172,2226,2285,2359,2385,2422,2468,2514,2562,2587,2659,2686,2731,2761,2816,2828,2903,2925,2967,3018,3080,3121,3135,3179,3185,3249,3253,3291,3312,3320,3352,3455
21,106,199,286,371,420,583,744,856,966,1025,1130,1228,1308,1392,1404,1454,1497,1589,1631,1697,1750,1795,1861,1941,1983,2034,2088,2153,2200,2215,2279,2342,2410,2438,2477,2519,2569,2611,2637,2709,2735,2780,2817,2853,2875,2945,2966,3001,3054,3107,3157,3172,3194,3211,3273,3265,3306,3333,3338,3360,3461
20,114,210,303,407,443,621,781,894,1004,1064,1176,1269,1350,1437,1445,1497,1540,1633,1683,1743,1794,1845,1907,1991,2031,2087,2148,2198,2248,2266,2328,2394,2466,2486,2534,2570,2620,2662,2685,2751,2781,2827,2861,2891,2916,2993,3004,3047,3092,3144,3188,3199,3223,3238,3285,3286,3334,3348,3376,3375,3473
19,120,228,321,438,474,665,821,940,1050,1114,1219,1310,1399,1482,1488,1547,1587,1678,1732,1790,1846,1892,1962,2040,2082,2139,2202,2254,2299,2309,2380,2444,2515,2535,2589,2627,2675,2714,2743,2797,2833,2868,2907,2934,2956,3026,3052,3081,3128,3173,3225,3231,3249,3253,3303,3306,3347,3363,3392,3393,3489
18,127,243,345,475,516,701,865,982,1092,1158,1271,1353,1451,1524,1532,1598,1636,1726,1776,1832,1896,1942,2017,2097,2136,2194,2258,2310,2365,2361,2435,2505,2568,2593,2639,2672,2723,2759,2798,2847,2879,2915,2959,2979,3004,3062,3088,3117,3164,3203,3259,3253,3276,3276,3326,3338,3366,3397,3423,3409,3502
17,135,255,372,508,549,750,916,1026,1138,1208,1317,1400,1504,1570,1583,1651,1689,1777,1832,1894,1951,1998,2074,2148,2194,2252,2308,2358,2420,2421,2486,2562,2628,2652,2693,2725,2780,2824,2851,2897,2927,2959,3002,3028,3048,3098,3132,3160,3196,3228,3279,3280,3301,3292,3344,3358,3380,3412,3437,3423,3511
